0001,2001-05-02,17:16:00
0026,2001-05-17,23:48:00
0051,2001-05-29,5:48:00
0076,2001-06-09,18:28:00
0101,2001-08-27,18:20:00
0126,2001-10-30,16:5:00
0151,2001-11-30,16:41:00
0176,2002-01-31,16:11:00
0201,2002-03-28,20:2:00
0226,2002-04-25,14:4:00
0251,2002-05-27,16:9:00
0276,2002-06-20,19:34:00
0301,2002-08-22,21:54:00
0326,2003-01-23,15:34:00
0351,2003-04-02,19:55:00
0376,2003-07-29,15:15:00
0401,2003-10-16,18:47:00
0426,2003-11-25,21:29:00
0451,2003-12-03,24:0:00
0476,2003-12-08,15:5:00
0501,2004-01-21,22:16:00
0526,2004-01-29,16:24:00
0551,2004-02-16,15:37:00
0576,2004-03-02,3:29:00
0601,2004-03-08,19:40:00
0626,2004-03-17,20:24:00
0651,2004-03-23,2:21:00
0676,2004-04-02,18:49:00
0701,2004-04-07,17:54:00
0726,2004-04-16,14:32:00
0751,2004-04-21,16:32:00
0776,2004-04-26,20:47:00
0801,2004-04-29,18:23:00
0826,2004-05-06,18:52:00
0851,2004-05-11,15:22:00
0876,2004-05-18,12:32:00
0901,2004-05-27,15:52:00
0926,2004-06-23,12:59:00
0951,2004-09-07,18:48:00
0976,2004-10-21,20:16:00
1001,2004-11-26,21:51:00
1026,2005-01-17,22:35:00
1051,2005-02-02,16:31:00
1076,2005-02-21,23:11:00
1101,2005-03-18,22:12:00
1126,2005-04-18,15:24:00
1151,2005-05-12,15:12:00
1176,2005-06-22,17:10:00
1201,2005-11-21,23:21:00
1226,2006-02-01,23:25:00
1251,2006-03-27,15:26:00
1276,2006-06-01,13:58:00
1301,2007-02-23,16:36:00
1324,2008-08-07,14:53:00
